PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_USR,HASH_ID
,문자 해독,sliding window string,,1593000
,전화번호 만들기,backtrack dp,,1594000
,북쪽나라의 도로,bruteforce dfs graph traversal tree,,1595000
,영식함수,,,1596000
,아스키 아트,,,1597000
,꼬리를 무는 숫자 나열,arithmetic math,,1598000
,민식어,sorting string,,1599000
,말이 되고픈 원숭이,bfs graph traversal,,1600000
,바이너리 파워 비숍,ad-hoc backtrack graph traversal,,1601000
,도망자 원숭이,floyd–warshall graph,,1602000
,작은 정사각형,dp game theory sprague–grundy thm,,1603000
,정사각형 자르기,geom line segment intersection check,,1604000
,반복 부분문자열,hash rabin–karp string suffix array and lcp array,,1605000
,침투 계획 세우기,ad-hoc case work math,,1606000
,원숭이 타워,dp math,,1607000
,스타 대회,ds dsu graph scc topological sorting,,1608000
,차의 공격,dp prefix sum sorting,,1609000
,프로게이머 영식,,,1610000
,강강술래,,,1611000
,가지고 노는 1,math number theory,,1612000
,역사,floyd–warshall graph,,1613000
,영식이의 손가락,arithmetic case work impl math,,1614000
,교차개수세기,ds segtree sorting,,1615000
,드럼통 메시지,eulerian path graph,,1616000
,허후민,compression impl sweeping,,1617000
,구역 나누기,,,1618000
,점 고르기,geom sorting,,1619000
,나는야 포켓몬 마스터 이다솜,ds hashset,,1620000
,조삼모사,dp,,1621000
,공통 순열,sorting string,,1622000
,신년 파티,dp tree dp tree,,1623000
,데크 소트,greedy sorting,,1624000
,조명기구,,,1625000
,두 번째로 작은 스패닝 트리,ds graph lca mst sparse table tree,,1626000
,결투,game theory sprague–grundy thm,,1627000
,수,dp greedy,,1628000
,곱셈,exponentiation by squaring math,,1629000
,오민식,math number theory primality test eratosthenes,,1630000
,오영식의 보물,combinatorics impl math recursion,,1631000
,Line Fighter,impl math sorting,,1632000
,최고의 팀 만들기,dp,,1633000
,완전 이진트리,,,1634000
,1 또는 -1,ad-hoc constructive,,1635000
,한번 열면 멈출 수 없어,ad-hoc greedy,,1636000
,날카로운 눈,binary search parametric search,,1637000
,컨벡스 헐,dp,,1638000
,행운의 티켓,bruteforce impl,,1639000
,동전 뒤집기,ad-hoc,,1640000
,삼각형 개수 세기,,,1641000
,딱따구리,combinatorics ds dsu math,,1642000
,쿠폰,impl math probability,,1643000
,소수의 연속합,math number theory primality test eratosthenes two-pointer,,1644000
,성지의 생일파티,,,1645000
,피이보나치 트리,dp lca recursion tree,,1646000
,도시 분할 계획,graph mst,,1647000
,격자판 채우기,bitmask dp bitfield dp,,1648000
,택시,dp graph topological sorting,,1649000
,지민이의 테러 Season II,flow mcmf,,1650000
,숌 코드,,,1651000
,누울 자리를 찾아라,impl string,,1652000
,양팔 저울,bitmask bruteforce impl,,1653000
,랜선 자르기,binary search parametric search,,1654000
,가운데를 말해요,ds priority queue,,1655000
,덜컹덜컹,geom,,1656000
,두부장수 장홍준,bitmask dp bitfield dp,,1657000
